"source","target","value","k1","k2","z1","z2","dx_k","color","dx_z","opacity"
"雅","興",27,68,93.3125,126,151.859594985535,150,"#C69480",715,0.15
"風","興",70,203.333333333333,268.958333333333,151.859594985535,218.902989392478,225,"#73747E",715,0.15
"頌","興",19,445,462.8125,218.902989392478,237.100482160077,206.25,"#48685B",715,0.15
"雅","觀",44,93.3125,134.5625,267.100482160077,309.242044358727,150,"#C69480",715,0.15
"風","觀",35,268.958333333333,301.770833333333,309.242044358727,342.763741562199,225,"#73747E",715,0.15
"頌","觀",19,462.8125,480.625,342.763741562199,360.961234329798,206.25,"#48685B",715,0.15
"雅","群",4,134.5625,138.3125,390.961234329797,394.792285438766,150,"#C69480",715,0.15
"風","群",12,301.770833333333,313.020833333333,394.792285438766,406.28543876567,225,"#73747E",715,0.15
"頌","群",2,480.625,482.5,406.28543876567,408.200964320154,206.25,"#48685B",715,0.15
"雅","怨",30,138.3125,166.4375,438.200964320154,466.933847637416,150,"#C69480",715,0.15
"風","怨",43,313.020833333333,353.333333333333,466.933847637416,508.117647058824,225,"#73747E",715,0.15
