"node","sum","dy","height","rectWidth","EngName","dx","color"
"勤政",7,15,11.5672131147541,60,"Diligent-Governance",1310,"#A8B0AF"
"戰爭",15,32.5672131147541,24.7868852459016,60,"War",1310,"#A8B0AF"
"宴餉",15,63.3540983606557,24.7868852459016,60,"Feast",1310,"#A8B0AF"
"祭祀",21,94.1409836065574,34.7016393442623,60,"Fete",1310,"#A8B0AF"
"諷諫",50,134.84262295082,82.6229508196721,60,"Sarcasm",1310,"#A8B0AF"
"頌歌",49,223.465573770492,80.9704918032787,60,"Odes",1310,"#A8B0AF"
"贊歌",20,310.436065573771,33.0491803278689,60,"Praise",1310,"#A8B0AF"
"戀曲",50,349.485245901639,82.6229508196721,60,"Love-Song",1310,"#A8B0AF"
"自傷",38,438.108196721312,62.7934426229508,60,"Self-Sentimental",1310,"#A8B0AF"
"民俗",27,506.901639344262,44.616393442623,60,"Folk-Custom",1310,"#A8B0AF"
"齊家",12,557.518032786885,19.8295081967213,60,"Family Regulating",1310,"#A8B0AF"
"悼亡",1,583.347540983607,1.65245901639344,60,"Mourning",1310,"#A8B0AF"
